human_H3K27ac_down.txt	human_H3K27ac_up.txt	human_H3K27me3_down.txt	human_H3K27me3_up.txt	human_H3K4me3_down.txt	human_H3K4me3_up.txt	human_H3K9ac_down.txt	human_H3K9ac_up.txt	human_H3K9me3_down.txt	human_H3K9me3_up.txt
	ENSG00000005194	ENSG00000182580	ENSG00000141098	ENSG00000165688	ENSG00000140830	ENSG00000086598	ENSG00000120054		ENSG00000064703
	ENSG00000006555	ENSG00000186407	ENSG00000173757	ENSG00000104852	ENSG00000197445	ENSG00000111364	ENSG00000140830		ENSG00000143079
	ENSG00000110958	ENSG00000142512	ENSG00000213465	ENSG00000089157	ENSG00000203910	ENSG00000111358	ENSG00000197445		ENSG00000119979
	ENSG00000198056	ENSG00000186074	ENSG00000033627	ENSG00000170855	ENSG00000168928	ENSG00000160318	ENSG00000203910		ENSG00000089022
	ENSG00000162600	ENSG00000105501	ENSG00000204710	ENSG00000111780	ENSG00000168925	ENSG00000184992	ENSG00000168928		ENSG00000135148
	ENSG00000025423	ENSG00000139364	ENSG00000037042	ENSG00000022840	ENSG00000183196	ENSG00000090520	ENSG00000168925		ENSG00000179295
	ENSG00000131747	ENSG00000154127	ENSG00000014138	ENSG00000142541	ENSG00000135702	ENSG00000125450	ENSG00000166822		ENSG00000116752
	ENSG00000156411	ENSG00000154134	ENSG00000133884	ENSG00000142528	ENSG00000166473	ENSG00000143398	ENSG00000183196		ENSG00000219344
	ENSG00000184277	ENSG00000185002	ENSG00000111581	ENSG00000111325	ENSG00000204572	ENSG00000179820	ENSG00000135702		ENSG00000151176
	ENSG00000185483	ENSG00000104974	ENSG00000108825	ENSG00000182196	ENSG00000135698	ENSG00000170889	ENSG00000120798		ENSG00000139410
	ENSG00000184502	ENSG00000186818	ENSG00000077254	ENSG00000086598	ENSG00000111647	ENSG00000204303	ENSG00000140905		ENSG00000135119
	ENSG00000172410	ENSG00000186431	ENSG00000068079	ENSG00000111364	ENSG00000110203	ENSG00000108107	ENSG00000166473		ENSG00000089220
	ENSG00000173801	ENSG00000188683	ENSG00000132603	ENSG00000111358	ENSG00000103175	ENSG00000213015	ENSG00000141293		ENSG00000152137
	ENSG00000116704	ENSG00000132702	ENSG00000103018	ENSG00000184992	ENSG00000103187	ENSG00000185298	ENSG00000198864		ENSG00000166266
	ENSG00000168067	ENSG00000143194	ENSG00000175467	ENSG00000090520	ENSG00000156374	ENSG00000160752	ENSG00000204572		ENSG00000075239
	ENSG00000173757	ENSG00000115596	ENSG00000181019	ENSG00000160695	ENSG00000175564	ENSG00000196290	ENSG00000170703		ENSG00000089163
	ENSG00000139233	ENSG00000163499	ENSG00000157349	ENSG00000143398	ENSG00000143107	ENSG00000055044	ENSG00000111647		ENSG00000170890
	ENSG00000108825	ENSG00000121454	ENSG00000174669	ENSG00000105617	ENSG00000136010	ENSG00000144579	ENSG00000110203		ENSG00000166323
